Date,Tweets published,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,media views,media engagements
1/17/2022,8,786,138,0.175572519,13,1,34,24,2,0,46,18,18
1/18/2022,1,604,42,0.069536424,4,0,14,8,0,0,10,6,6
1/19/2022,1,395,23,0.058227848,2,1,3,7,0,0,7,3,3
1/20/2022,1,1000,65,0.065,2,3,12,13,2,0,29,4,4
1/21/2022,2,533,10,0.018761726,0,0,1,4,2,0,3,0,0
1/22/2022,1,316,37,0.117088608,4,0,12,9,4,0,4,3,3
1/23/2022,0,152,7,0.046052632,1,0,1,1,3,0,0,1,1
1/24/2022,2,306,47,0.153594771,3,4,8,4,1,0,25,71,2
1/25/2022,2,266,22,0.082706767,4,1,7,4,3,0,3,7,0
1/26/2022,1,10327,530,0.051321778,15,1,56,105,62,2,257,34,31
1/27/2022,2,1776,54,0.030405405,1,1,3,19,4,0,24,5,2
1/28/2022,2,3068,104,0.033898305,5,4,17,28,4,0,46,4,0
1/29/2022,2,2130,126,0.05915493,15,8,30,18,2,1,51,4,1
1/30/2022,1,764,62,0.081151832,5,1,9,13,2,0,31,3,1
1/31/2022,2,1364,61,0.044721408,2,1,12,15,4,0,23,4,4
2/1/2022,0,454,23,0.050660793,0,0,0,4,6,0,9,5,4
2/2/2022,0,339,13,0.038348083,0,0,1,4,2,1,4,1,1
2/3/2022,0,262,9,0.034351145,1,0,2,3,2,1,0,0,0
2/4/2022,0,185,10,0.054054054,0,0,4,1,2,0,1,3,2
2/5/2022,0,157,13,0.082802548,0,0,0,5,2,0,5,1,1
2/6/2022,1,184,7,0.038043478,0,0,2,3,1,0,0,3,1
2/7/2022,0,182,4,0.021978022,0,0,0,0,1,0,2,3,1
2/8/2022,1,199,21,0.105527638,1,1,5,4,0,0,10,0,0
2/9/2022,0,106,1,0.009433962,0,0,0,0,0,0,1,0,0
2/10/2022,2,434,38,0.087557604,1,0,9,11,3,0,14,0,0
2/11/2022,1,818,110,0.134474328,4,3,11,26,11,0,54,0,1
2/12/2022,1,236,8,0.033898305,1,0,3,3,1,0,0,0,0
2/13/2022,0,143,12,0.083916084,0,0,1,4,1,0,5,1,1
2/14/2022,1,321,12,0.037383178,0,0,3,3,3,0,1,3,2
2/15/2022,0,174,3,0.017241379,0,0,0,0,0,0,3,1,0
2/16/2022,0,280,8,0.028571429,0,0,1,3,0,0,4,2,0
2/17/2022,1,271,50,0.184501845,4,0,9,6,11,0,20,0,0
2/18/2022,0,534,63,0.117977528,10,0,20,5,6,0,21,3,1
2/19/2022,5,988,87,0.08805668,9,1,18,13,1,0,45,0,0
2/20/2022,0,1683,72,0.042780749,7,1,12,16,0,0,34,3,2
2/21/2022,2,1148,53,0.046167247,1,0,18,9,3,0,21,1,1
2/22/2022,1,555,29,0.052252252,3,0,8,3,0,0,15,0,0
2/23/2022,2,1944,98,0.050411523,5,1,16,23,10,0,40,3,3
2/24/2022,1,412,29,0.07038835,4,0,5,13,1,0,4,2,2
2/25/2022,17,7819,644,0.082363474,26,22,88,124,39,1,323,22,20
2/26/2022,16,11648,511,0.043870192,14,5,64,128,38,0,212,50,50
2/27/2022,17,6806,195,0.02865119,3,8,14,56,23,1,81,9,9
2/28/2022,6,7669,232,0.030251663,9,3,31,63,41,1,72,13,12
3/1/2022,8,19391,728,0.03754319,35,15,83,131,28,1,291,3481,144
3/2/2022,14,21893,1093,0.049924633,66,50,122,185,78,4,497,3311,91
3/3/2022,13,21704,1470,0.067729451,56,41,210,270,81,1,757,996,54
3/4/2022,15,16124,725,0.044964029,24,13,103,183,31,0,294,1170,77
3/5/2022,4,6349,365,0.057489368,11,6,45,63,29,2,182,485,27
3/6/2022,0,19460,437,0.022456321,16,14,66,88,38,5,180,501,30
3/7/2022,4,8161,267,0.032716579,7,8,33,41,24,1,141,281,12
3/8/2022,2,3504,208,0.059360731,10,4,34,49,12,0,90,107,9
3/9/2022,5,10664,438,0.041072768,27,8,76,73,30,1,197,324,26
3/10/2022,1,26109,497,0.019035582,22,8,87,84,27,0,254,193,14
3/11/2022,6,8939,392,0.04385278,16,11,99,72,9,0,149,746,36
3/12/2022,3,2455,76,0.03095723,5,6,16,14,4,0,26,134,5
3/13/2022,0,1597,34,0.021289919,1,0,6,14,2,0,11,62,0
3/14/2022,3,13390,325,0.024271845,27,4,75,46,12,1,137,90,23
3/15/2022,2,7241,477,0.065874879,26,9,75,55,27,2,226,739,57
3/16/2022,11,5229,330,0.063109581,13,7,54,66,23,1,147,451,18
3/17/2022,3,4177,139,0.033277472,7,2,24,35,7,0,49,514,15
3/18/2022,6,7902,430,0.054416603,29,16,74,69,32,0,174,377,36
3/19/2022,6,3663,223,0.060879061,21,4,38,42,14,0,94,126,10
3/20/2022,0,1464,30,0.020491803,3,0,3,8,2,0,9,42,5
3/21/2022,5,2790,180,0.064516129,17,2,40,25,5,0,80,114,11
3/22/2022,3,3298,262,0.079442086,17,8,46,48,14,0,110,152,19
3/23/2022,4,7429,488,0.065688518,28,18,86,65,5,0,222,238,64
3/24/2022,2,3179,159,0.050015728,4,0,23,27,3,0,73,105,29
3/25/2022,1,2325,93,0.04,2,0,6,13,8,0,52,121,12
3/26/2022,0,830,33,0.039759036,1,1,2,8,4,0,10,33,7
3/27/2022,1,1302,47,0.03609831,0,1,1,13,0,0,24,44,8
3/28/2022,3,2206,52,0.023572076,0,0,7,12,0,0,28,75,5
3/29/2022,1,2898,193,0.066597654,16,8,44,31,6,3,76,84,9
3/30/2022,1,4445,195,0.043869516,17,5,46,42,9,0,66,68,10
3/31/2022,0,3068,142,0.046284224,11,2,34,37,7,2,44,80,5
4/1/2022,2,4472,249,0.055679785,28,12,70,49,0,2,79,70,9
4/2/2022,0,1913,69,0.036069002,6,2,18,13,2,0,26,23,2
4/3/2022,0,1107,33,0.029810298,0,0,5,8,5,0,11,26,4
4/4/2022,0,777,22,0.028314028,3,0,6,4,0,0,8,25,1
4/5/2022,1,5078,324,0.063804647,24,2,55,62,3,0,113,162,65
4/6/2022,0,5871,177,0.030148186,10,1,32,48,4,0,49,132,33
4/7/2022,5,4123,237,0.057482416,10,6,32,46,13,0,100,178,30
4/8/2022,0,6155,159,0.025832656,3,0,15,59,7,0,54,183,21
4/9/2022,0,1099,26,0.023657871,2,0,2,8,3,0,7,39,4
4/10/2022,0,1011,26,0.025717112,2,0,2,9,4,0,6,45,3
4/11/2022,0,2297,18,0.007836308,0,0,1,6,1,0,9,47,1
4/12/2022,0,713,15,0.021037868,0,1,0,9,2,0,3,83,0
4/13/2022,3,3540,288,0.081355932,36,12,70,42,5,2,118,161,3
4/14/2022,1,7344,357,0.048611111,22,5,63,68,32,2,155,158,10
4/15/2022,1,23658,428,0.018091132,18,4,69,88,41,1,168,164,39
4/16/2022,26,27554,1291,0.046853451,87,62,149,165,223,6,564,361,35
4/17/2022,1,7625,401,0.052590164,33,19,55,45,59,4,167,122,18
4/18/2022,6,23487,1000,0.042576745,47,20,130,189,45,12,451,296,106
4/19/2022,3,13059,631,0.048319167,38,6,84,138,12,19,246,205,87
4/20/2022,0,3895,123,0.031578947,8,2,17,32,3,2,41,118,18
4/21/2022,10,19997,1215,0.060759114,50,18,169,158,172,7,541,2875,100
4/22/2022,0,6342,304,0.047934406,12,1,33,34,69,0,131,877,24
4/23/2022,0,2333,189,0.081011573,10,2,19,22,35,5,80,339,16
4/24/2022,1,1639,151,0.092129347,5,0,9,15,34,0,78,226,10
4/25/2022,1,1980,118,0.05959596,5,3,17,17,16,0,54,132,6
4/26/2022,0,1491,106,0.071093226,2,0,6,11,27,1,49,173,10
4/27/2022,2,2683,211,0.07864331,12,3,38,35,11,0,93,192,19
4/28/2022,2,2121,99,0.046676096,3,3,11,11,5,0,51,160,15
4/29/2022,3,7296,426,0.058388158,18,9,74,63,17,4,155,166,86
4/30/2022,1,2635,156,0.059203036,12,0,32,27,6,3,50,43,26
5/1/2022,1,3127,101,0.032299328,4,1,23,21,3,3,31,34,15
5/2/2022,2,1025,50,0.048780488,1,2,9,7,5,0,23,13,3
5/3/2022,2,12708,1256,0.098835379,53,10,165,54,0,7,353,629,614
5/4/2022,1,12491,1377,0.110239372,36,2,164,183,50,1,444,512,497
5/5/2022,1,3290,276,0.083890578,9,0,34,53,23,0,59,116,98
5/6/2022,0,2625,181,0.068952381,4,0,15,17,6,1,47,105,91
5/7/2022,1,21356,1666,0.078010863,77,10,329,340,189,43,602,89,76
5/8/2022,4,14378,694,0.048268188,23,5,97,157,85,30,248,60,49
5/9/2022,4,5703,246,0.043135192,7,3,25,57,30,10,70,49,44
5/10/2022,1,3888,264,0.067901235,16,2,46,46,32,4,80,42,38
5/11/2022,2,44841,1861,0.041502197,66,6,230,132,9,23,575,826,820
5/12/2022,1,28630,889,0.031051345,34,8,91,62,33,11,254,1248,396
5/13/2022,5,16711,881,0.052719765,46,17,134,86,58,23,332,3538,185
5/14/2022,0,18369,900,0.04899559,26,6,88,93,10,16,247,621,413
5/15/2022,0,5118,482,0.094177413,33,2,41,52,14,5,148,311,187
5/16/2022,3,5354,389,0.072655958,18,4,54,44,11,3,103,266,152
5/17/2022,0,2767,222,0.080231297,7,1,11,21,8,2,52,333,120
5/18/2022,0,1517,89,0.058668425,2,0,9,11,3,0,25,103,39
5/19/2022,1,2065,106,0.051331719,12,4,25,23,1,0,14,57,27
5/20/2022,4,4371,266,0.060855639,16,5,45,38,42,2,74,62,44
5/21/2022,0,1796,135,0.075167038,7,1,29,15,13,1,27,51,42
5/22/2022,0,1022,89,0.087084149,7,0,32,6,5,1,12,37,26
5/23/2022,0,1072,87,0.081156716,1,0,10,14,8,0,18,56,36
5/24/2022,0,924,85,0.091991342,3,1,19,9,10,1,17,46,25
5/25/2022,0,868,44,0.050691244,0,0,6,11,3,0,9,28,15
5/26/2022,1,826,47,0.056900726,5,0,8,6,7,0,4,24,17
5/27/2022,0,1112,76,0.068345324,3,2,13,9,7,0,27,30,15
5/28/2022,0,533,34,0.063789869,0,1,5,6,6,3,7,11,6
5/29/2022,0,356,17,0.047752809,1,1,2,4,1,0,4,11,4
5/30/2022,2,13071,583,0.044602555,28,8,142,59,7,9,232,101,98
5/31/2022,2,3887,107,0.027527656,4,1,16,15,0,2,38,39,31
6/1/2022,1,15795,500,0.031655587,27,1,73,84,4,11,147,169,153
6/2/2022,0,9290,236,0.02540366,4,1,21,39,0,3,73,105,95
6/3/2022,0,1492,77,0.051608579,1,1,7,15,6,1,17,32,29
6/4/2022,0,1146,35,0.030541012,0,0,5,9,0,0,8,17,13
6/5/2022,0,715,26,0.036363636,1,1,4,4,0,0,4,16,12
6/6/2022,0,824,27,0.03276699,0,0,3,2,0,0,13,18,8
6/7/2022,0,627,32,0.051036683,0,0,1,6,0,0,6,23,19
6/8/2022,0,689,29,0.042089985,0,0,7,7,3,1,5,10,6
6/9/2022,3,18920,717,0.037896406,35,11,129,83,24,6,311,3675,118
6/10/2022,0,11787,304,0.025791126,6,0,42,61,11,1,129,2095,54
6/11/2022,0,2501,112,0.044782087,8,2,16,26,6,1,32,532,21
6/12/2022,0,2246,64,0.028495102,2,2,4,12,4,1,27,356,12
6/13/2022,0,2045,54,0.026405868,3,1,7,7,1,0,20,362,15
6/14/2022,0,1816,49,0.026982379,3,0,4,6,8,0,14,373,14
6/15/2022,0,1249,25,0.020016013,1,1,4,7,0,1,4,268,7
6/16/2022,1,2646,146,0.055177627,7,4,28,25,13,2,59,158,8
6/17/2022,0,3996,60,0.015015015,2,0,4,11,4,1,24,356,14
6/18/2022,0,1241,29,0.023368251,3,4,4,5,2,0,5,157,6
6/19/2022,0,626,13,0.020766773,0,0,2,5,0,0,3,59,3
6/20/2022,1,28751,609,0.021181872,21,5,82,104,22,1,182,297,192
6/21/2022,2,29090,883,0.030354074,25,5,136,148,35,2,317,457,215
6/22/2022,1,7960,249,0.031281407,8,2,32,60,9,1,70,116,67
6/23/2022,0,2080,87,0.041826923,0,0,6,21,5,4,26,77,25
6/24/2022,2,2646,317,0.119803477,16,7,47,56,44,1,116,58,30
6/25/2022,9,38549,1491,0.038678046,63,19,298,271,32,5,597,707,206
6/26/2022,0,19379,323,0.016667527,12,5,49,71,8,8,102,141,68
6/27/2022,0,3681,131,0.035588155,1,1,7,17,5,2,65,68,33
6/28/2022,0,1961,55,0.028046915,2,0,4,15,3,1,13,50,17
6/29/2022,3,1764,87,0.049319728,2,1,11,14,2,5,25,56,27
6/30/2022,3,3895,207,0.053145058,14,7,68,35,0,1,64,30,18
7/1/2022,3,5567,282,0.050655649,18,8,55,38,0,1,121,1278,41
7/2/2022,1,25978,767,0.029524983,26,6,140,138,6,2,315,375,134
7/3/2022,0,30602,589,0.019247108,18,3,83,152,3,0,200,209,130
7/4/2022,0,6784,197,0.029038915,6,5,18,43,0,0,71,110,54
7/5/2022,0,2956,95,0.032138024,4,1,8,18,0,2,36,56,26
7/6/2022,2,11610,212,0.018260121,11,5,38,31,0,1,100,1541,26
7/7/2022,0,7567,223,0.029470067,16,1,35,34,0,10,89,974,38
7/8/2022,1,3526,159,0.04509359,9,1,28,37,10,1,59,133,14
7/9/2022,1,1897,67,0.035318925,0,0,6,8,0,1,29,72,23
7/10/2022,0,986,66,0.06693712,1,1,6,8,0,1,27,69,22
7/11/2022,1,1040,45,0.043269231,2,1,7,12,3,0,16,47,4
7/12/2022,0,922,21,0.022776573,1,0,1,10,0,0,4,22,5
7/13/2022,0,614,35,0.057003257,1,0,2,10,1,0,13,29,8
7/14/2022,0,423,11,0.026004728,0,0,2,5,0,0,3,20,1
7/15/2022,0,447,20,0.044742729,1,0,1,4,1,0,7,20,6
7/16/2022,0,361,21,0.058171745,0,2,1,4,1,0,6,18,7
7/17/2022,0,287,11,0.038327526,0,2,0,2,0,0,4,11,3
7/18/2022,0,352,6,0.017045455,0,1,1,1,1,0,1,10,1
7/19/2022,0,557,30,0.053859964,0,0,6,6,1,0,11,26,6
7/20/2022,2,588,29,0.049319728,0,2,4,3,1,0,11,84,8
7/21/2022,16,15607,728,0.046645736,37,19,227,80,18,4,313,309,30
7/22/2022,3,13436,590,0.043911879,50,5,164,91,7,10,241,172,22
7/23/2022,0,2611,57,0.021830716,6,1,18,13,0,0,17,11,2
7/24/2022,0,1094,24,0.021937843,3,0,6,6,0,1,7,13,1
7/25/2022,1,2746,131,0.047705754,10,1,34,42,0,1,38,20,5
7/26/2022,1,1832,77,0.042030568,5,0,16,17,1,0,26,27,12
7/27/2022,2,15540,244,0.015701416,20,1,74,55,3,0,70,126,21
7/28/2022,5,7498,403,0.053747666,38,20,83,89,33,0,116,37,24
7/29/2022,1,3645,253,0.069410151,30,7,62,33,1,0,73,60,47
7/30/2022,1,20149,693,0.034393766,22,7,100,153,0,0,184,232,227
7/31/2022,0,2698,113,0.041882876,3,4,15,24,0,0,33,38,34
8/1/2022,2,3982,140,0.035158212,0,6,16,42,0,0,50,35,26
8/2/2022,0,1538,48,0.031209363,2,0,4,17,0,0,9,23,16
8/3/2022,1,1871,74,0.039551042,3,3,14,14,0,0,34,10,6
8/4/2022,0,1449,39,0.026915114,0,0,1,15,3,0,6,60,14
8/5/2022,3,15228,791,0.051943788,38,7,140,108,6,2,357,137,133
8/6/2022,0,9577,283,0.029549963,4,3,22,65,1,0,90,100,98
8/7/2022,0,1600,58,0.03625,1,0,6,15,0,1,13,24,22
8/8/2022,0,1500,76,0.050666667,1,0,2,21,0,0,30,25,22
8/9/2022,0,1090,40,0.036697248,1,1,5,10,0,0,14,10,9
8/10/2022,1,35848,1603,0.044716581,101,47,329,143,5,14,481,484,482
8/11/2022,2,19093,675,0.035353271,25,11,123,70,2,3,226,242,215
8/12/2022,2,7863,417,0.053033193,10,9,68,61,0,0,181,146,88
8/13/2022,2,15782,900,0.057026993,83,28,200,106,1,6,294,195,182
8/14/2022,1,43487,1047,0.024076161,23,14,105,302,2,11,281,441,309
8/15/2022,0,3931,142,0.036123124,2,2,9,32,0,0,52,251,45
